0.01 0.0373167421 0.0270682504 0.0191353695 0.0257420814 0.017096908 0.00697812971342382 0.00697586726998492
0.02 0.0701251885 0.0528280543 0.038668175 0.0501610106 0.0342760181 0.0164110105580694 0.0164110105580694
0.03 0.104071644 0.0787413273 0.0577213424 0.0753846154 0.0516496983 0.0225897435897436 0.0225897435897436
0.04 0.1396319759 0.1087631976 0.0814826546 0.1048348416 0.0745512821 0.0334687028657616 0.0334653092006033
0.05 0.1669585219 0.1325211161 0.1007390649 0.1275312971 0.0922843137 0.0446440422322776 0.0446078431372549
0.06 0.1963891403 0.1586802413 0.1220878582 0.1532379336 0.1128985671 0.0536018099547512 0.0535920060331825
0.07 0.227846908 0.1853525641 0.1433793363 0.1797662142 0.1332394419 0.0600754147812972 0.0600505279034691
0.08 0.2532850679 0.2082096531 0.1619309955 0.2020901207 0.1509306184 0.069500754147813 0.0693876319758673
0.09 0.2838785822 0.2363374811 0.1865158371 0.2309506033 0.1750007541 0.07786802413273 0.0777428355957768
0.1 0.3101357466 0.2644698341 0.216091629 0.2589973605 0.2041387632 0.0922175716440422 0.0920693815987934
